predicted-title,gt-title,crf_match,loose_match
ultrasonic absorption study of e-caprolactam in cyclohexane solutions,ultrasonic absorption study of epsilon-caprolactam in cyclohexane solutions,0,1
the soldiers' orphan schools of pennsylvania 1864-1889,"the soldiers' orphan schools of pennsylvania, 1864-1889",0,1
larval ixodid ticks of indonesia (acarina: ixodidae),larval ixodid ticks of indonesia (acarina: ixodidae),1,1
the effects of video tape feedback on the achievement of students in a beginning conducting class,the effects of video-tape feedback on the achievement of students in a beginning conducting class,0,1
the effect of one type of preinterview verbal discrimination training model on verbal behavior in an interview setting,the effect of one type of preinterview verbal discrimination training model on verbal behavior in an interview setting,1,1
comparative systematic anatomy of the parasite cassytha (lauraceae),comparative systematic anatomy of the parasite cassytha (lauraceae),1,1
the politics of the korean minority in,the politics of the korean minority in japan,0,1
the effects of general semantics on the personality adjustment of elementary school children,the effects of general semantics on the personality adjustment of elementary school children,1,1
radiation-induced grafting of styrene to polyethylene and hexatriacontane,radiation-induced grafting of styrene to polyethylene and hexatriacontane,1,1
radiation-induced grafting of butadiene to chlorinated polyethylene and poly (vinyl chloride),radiation-induced grafting of butadiene to chlorinated polyethylene and poly(vinyl chloride),0,1
the freedmen at pompett,the freedmen at pompeii,0,0
the battle of midway: a study in command,the battle of midway: a study in command,1,1
the harrowing of hell: a study of its reception and artistic interpretation in early mediaeval european literature,the harrowing of hell: a study of its reception and artistic interpretation in early mediaeval european literature,1,1
a wavy wall analytical model of muco-ciliary pumping,a wavy wall analytical model of muco-ciliary pumping,1,1
on some large-sample methods in statistical point estimation,on some large-sample methods in statistical point estimation,1,1
studies on the extraction accumulation and metabolism of phthalate ester plasticizers from polyvinyl chloride medical devices,"studies on the extraction, accumulation and metabolism of phthalate esterplasticizers from polyvinyl chloride medical devices",0,1
conservation principles and stability in the evolution of drainage systems,conservation principles and stability in the evolution of drainage systems,1,1
computer simulations of turbulent dispersion,computer simulations of turbulent dispersion,1,1
the distribution and arrangement of urban structure,the distribution and arrangement of urban structure and spatial change,0,1
the elizabethan gentlemen adventurers and western planting,the elizabethan gentlemen adventurers and western planting,1,1
cigoli studies,cigoli studies,1,1
representation and detection of concurrency using ordering matrices,representation and detection of concurrency using ordering-matrices.,0,1
an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves,an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves.,0,1
the living lyre: a study of the poetry of thomas gray,the living lyre: a study of the poetry of thomas gray,1,1
the poetic development of barthold heinrich brockes in his irdisches vergnugen in gott,"the poetic development of barthold heirich brockes in his irdisches vergnuegen in gott.""""",0,1
animal imagery in the old testaments some aspects of hebrew poetics,animal imagery in the old testament: some aspects of hebrew poetics,0,1
city size land use and transportation costs.,"city size, land use and transportation costs.",0,1
an essay on the concept of collective rationality,an essay on the concept of collective rationality,1,1
surface relief cinemicrography of the unsteady solidification of the lead-tin-cadmium ternary eutectic,surface relief cinemicrography of the unsteady solidification of the lead - tin - cadmium ternary eutectic,0,1
studies on women at mari: politics and religion,studies on women at mari: politics and religion.,0,1
"""""",henry draper: a scientific biography,0,0
transportation and the urban economy,transportation and the urban economy.,0,1
on the motion of a line common to three different materials,on the motion of a line common to three different materials,1,1
second sound attenuation in a liquid helium counterflow,second sound attenuation in a liquid helium counterflow jet.,0,1
the flow of human blood through capillary tubes with inside diameters between 8.7,the flow of human blood through capillary tubes with inside diameters between 8.7 and 221 microns,0,1
estimation and control of stochastic chemical systems,estimation and control of stochastic chemical systems,1,1
characteristics of transverse mixing in open-channel flows,characteristics of transverse mixing in open-channel flows,1,1
topics in particle physics i. tests for helicity conservation and spin-parity selection rules in diffraction dissociation ii. independent production of pions,two topics in particle physics: i. tests for helicity conservation and spin-parity selection rules in diffraction dissociaiton. ii. independent production of pions,0,1
theoretical frameworks for testing relativistic gravity; the parametrized post-newtonian formalism,theoretical frameworks for testing relativistic gravity; the parametrizedpost-newtonian formalism,0,1
modes and spectra of high gain lasers,modes and spectra of high gain lasers,1,1
an electrical 4nd statistical study of burst noise,an electrical and statistical study of burst noise,0,1
applications of model theory to complex analysis,applications of model theory to complex analysis,1,1
surface wave propagation and source studies,surface wave propagation and source studies in the gulf of california region,0,0
the origins of the nonlinear refractive indices of liquids and glasses,the origins of the nonlinear refractive indices of liquids and glasses,1,1
low-frequency characterization of switched dc-dc converters,low-frequency characterization of switched dc-dc converters,1,1
a mathematical and experimental investigation of microcycle spectral estimates of semiconductor flicker noise,a mathematical and experimental investigation of microcycle spectral estimates of semiconductor flicker noise,1,1
aperture synthesis observations of neutral hydrogen in three galaxies,aperture synthesis observations of neutral hydrogen in three galaxies,1,1
particle collection from aqueous suspensions by solid and hollow single,particle collection from aqueous suspensions by solid and hollow single fibers.,0,1
"""""",more fun than anything. (a study of cyclopropenium salts),0,0
flow induced vibration of bluff structures,flow induced vibration of bluff structures.,0,1
two pigeon hole principles and unions of convexly disjoint sets,two pigeon-hole principles and unions of convexly-disjoint sets.,0,1
the structure of compact radio sources at 10.7,the structure of compact radio sources at 10.7 ghz.,0,1
viscous and nonlinear effects in the oscillations of drops and bubbles,viscous and nonlinear effects in the oscillations of drops and bubbles.,0,1
superconductivity in metal-semiconductor eutectic alloys,superconductivity in metal-semiconductor eutectic alloys.,0,1
some problems in nonlinear elasticity,some problems in nonlinear elasticity.,0,1
numerical ranges of powers of operators,numerical ranges of powers of operators.,0,1
a structured design-method for specialized proof procedures,a structured design-method for specialized proof procedures.,0,1
a study of the entrainment and turbulence in a plane buoyant,a study of the entrainment and turbulence in a plane buoyant jet.,0,1
dissertation assessment of department store selling competency,assessment of department store selling competency,0,1
life history of physaloptera rara hall and wigdor 1918 in definitive intermediate and paratenic hosts,"life history of physaloptera rara (hall and wigdor, 1918) in definitive, intermediate, and paratenic hosts",0,1
epizootic bovine abortion: tissue predilection and serologic evaluation of the etiologic agent,epizootic bovine abortion: tissue predilection and serologic evaluation of the etiologic agent,1,1
thesis 2 2'-bipyrimidine coordination polymers,"2,2'-bipyrimidine coordination polymers",0,1
dissertation accelerating agricultural production in saudi arabia,accelerating agricultural production in saudi arabia,0,1
"""""",infiltration affected by flow of air,0,0
dissertation image - a factor in tourism,image--a factor in tourism,0,0
soil descriptions and simulation model of potassium cycling in colorado forests,soil descriptions and simulation model of potassium cycling in colorado forests,1,1
water infiltration under center-pivots,water infiltration under center-pivots.,0,1
mechanics of soil erosion from overland flow,mechanics of soil erosion from overland flow generated by simulated rainfall,0,0
1972 dissertation anxiety management training,anxiety management training,0,0
biosystematic studies of oenothera l. subgenus pachylophus,biosystematic studies of oenothera (l.) subgenus pachylophus.,0,1
immunogenetics of salmonid serum proteins,immunogenetics of salmonid serum proteins.,0,1
"""""",chlorinated pollutant photodynamics,0,0
dissertation plasma-solid interface energy transport,plasma-solid interface energy transport.,0,1
chemical pasteurization of poultry meat,chemical pasteurization of poultry meat.,0,1
metabolic fate of 15n- and 140c-betaine,metabolic fate of nitrogen-15 and carbon-14 labeled betaine.,0,0
reactions of auto mechanics terminees and supervisors to the importance and quality of auto mechanics training,reactions of auto mechanics terminees and supervisors to the importance and quality of auto mechanics training.,0,1
habitat exploitation by an avian ground-foraging guild,habitat exploitation by an avian ground-foraging guild.,0,1
relationship between innovative teachers and student achievement and career aspirations,relationship between innovative teachers and student achievement and career aspirations.,0,1
economic and legal protection for aquatic habitats in the united states,economic and legal protection for aquatic habitats in the united states.,0,1
dissertation verification of a mathematical model for wood joist floor systems,verification of a mathematical model for wood joist floor systems.,0,1
induced photolysis of alkyl halides,induced photolysis of alkyl halides,1,1
layered beam vibrations including slip,layered beam vibrations including slip,1,1
the development and field testing of a written occupational competency examination for auto mechanic teachers,the development and field testing of a written occupational competency examination for auto mechanic teachers.,0,1
