,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status
57,henry,,van tuyl cotter,james,richard,mckenna ,1,1,0
58,melissa,clare,connaway,joanna,,grymes ,1,1,0
59,claire,elaine,crutchley,,,randall ,1,1,0
60,sterling,i.,marshall,doron,,shalev ,1,0,0
61,mohammad,ali,saed,kenneth,lee,kienas ,1,1,0
62,bruce,s.,tang,robert,nicholas,antenucci ,1,0,0
63,james,r.,mckenna,lena,,hall ,1,0,0
64,joanna,m.,grymes,brian,victor,bredenkamp ,1,0,0
65,,,,ronald,eugene,hawkins ,1,1,0
66,doron,,shalev,lin-ying,,lai ,1,1,0
67,satyaki,,basu,william,,yurochko ,1,1,1
68,robert,nicholas,antenucci,helene,sarah,aiello ,1,1,0
69,lena,,hall,beryle,crockett,santon ,1,1,0
70,brian,victor,bredenkamp,,,clemons ,1,1,0
71,ronald,e.,hawkins,ann,marie,hellstern ,1,0,0
72,lin-,ying,lai,margaret,mary,sheridan ,0,0,0
73,william,p.,yurochko,cynthia,ann,arnold ,1,0,0
74,helene,,aiello,libra,cleveland,gysel ,1,1,0
75,beryle,crockett,santon,juan,pedro,arhancet ,1,1,0
76,,,,ha,chul,kim ,1,1,0
77,ann,marie,hellstern,jorge,luis,yordan hernandez ,1,1,0
78,enrique,l.,kilayko,john,alan,chermak ,1,0,1
79,cynthia,a.,arnold,robert,thomas,arenburg ,1,0,0
80,libra,jan cleveland,gysel,christine,mae,gruhn ,1,0,0
81,juan,p.,arhancet,gbemiga,adekunmi,ayangbile ,1,0,0
82,ha,chul,kim,david,henry,cohen ,1,1,0
83,jorge,luis yordan,hernandez,richard,john,fenchak ,1,0,0
84,john,alan,chermak,linda,ellen,morris ,1,1,0
85,robert,thomas,arenburg,anthony,joseph,oliveira ,1,1,0
86,christine,mae,gruhn,lillie,mae,anderton ,1,1,0
87,gbemiga,a.,ayangbile,kimberly,dean,bennett ,1,0,0
88,david,h.,cohen,susan,ann,semanic-lauth ,1,0,0
89,alfred,i.,raff,chian-yeun,,chang ,1,0,1
90,linda,e.,morris,allen,lee,sehn ,1,0,0
91,anthony,j.,oliveira,zhiqiang,,wang ,1,0,0
92,lillie,mae,anderton,william,john,chism ,1,1,0
93,k.d.,,bennett,thomas,,barton ,0,1,0
94,susan,,semanic-lauth,john,william,hellgeth ,1,1,0
95,chian-yeun,,chang,joseph,mark,desimone ,1,1,0
96,allen,lee,sehn,walid,khaled,eid ,1,1,0
97,zhiqiang,,wang,mutasim,fuad,baba ,1,1,0
98,william,john,chism,thomas,,dingus ,1,1,0
99,thomas,f.,barton,mickey,,gunter ,1,0,0
