acronym,full_name
B.Phil. or Ph.B.,Bachelor of Philosophy
B.S. or S.B.,Bachelor of Science
B.S.C,Bachelor of Science
B.S.A.E. or B.A.E.,Bachelor of Science in Aerospace Engineering
B.S.B.A.,Bachelor of Science in Business Administration
B.S.C.S.,Bachelor of Science in Computer Science
B.S.Chem.,Bachelor of Science in Chemistry
B.S.E. or B.S.Eng.,Bachelor of Science in Engineering
B.S.Ed. or B.S.E.,Bachelor of Science in Education
B.S.E.T.,Bachelor of Science of Engineering Technology
B.S.F.,Bachelor of Science in Forestry
B.S.M.E.,Bachelor of Science in Mechanical Engineering
B.S.Micr.,Bachelor of Science in Microbiology
B.S.P.H.,Bachelor of Science in Public Health
B.S.S.W.,Bachelor of Science in Social Work
B.Sc.,Intercalculated Bachelor of Science
B.Sc(Econ),Bachelor of Science in Economics
B.Sc(IT),Bachelor of Science in Information Technology
B.Sc(Psych),Bachelor of Science in Psychology
B.Soc.Sc.,Bachelor of Social Science
B.T.S.,Bachelor of Tourist Studies
B.Tech.,Bachelor of Technology
B.U.R.P.,Bachelor of Urban and Regional Planning
B.Plan.,Bachelor of Urban and Regional Planning
M.Acc.,Master of Accounting (or Accountancy)
M.Acy.,Master of Accounting (or Accountancy)
M.Aqua.,Master of Aquaculture
M.L.S.,Master of Arts in Liberal Studies
M.A.L.S.,Master of Arts in Liberal Studies
M.A.Sc.,Master of Applied Science
M.A.S.,Master of Applied Science
M.Bus.,Master of Business
M.B.I.,Master of Business Informatics
M.Comm.,Master of Commerce
M.Com.,Master of Commerce
M.C.A.,Master of Computer Applications
M.C.F.,Master of Computational Finance
M.C.P.,Master of City Planning
M.C.T.,Master of Creative Technologies
M.E.,Master of Engineering
M.Ed.,Master of Education
Ed.M.,Master of Education
M.E.M.,Master of Engineering Management
M.Fstry.,Master of Forestry
M.F.E.,Master of Financial Economics
M.H.A.,Master of Health Administration
M.I.Aff.,Master of International Affairs
M.I.L.R.,Master of Industrial and Labor Relations
M.S.I.M,Master of Information System Management
M.I.S.M.,Master of Information System Management
M.L.A.,Master of Liberal Arts
M.L.I.S.,Master of Library and Information Studies
M.Math.,Master of Mathematics
M.M.F.,Master of Mathematical Finance
M.P.S.,Master of Political Science
M.Phys.,Master of Physics
M.P.Aff.,Master of Public Affairs
M.P.M.,Master of Public Management
M.P.S.,Master of Professional Studies
M.Q.F.,Master of Quantitative Finance
M.R.E.D.,Master of Real Estate Development
M.S.C.J.,Master of Science in Criminal Justice
Art.D.,Doctor of Arts
D.A.,Doctor of Arts
D.A.T.,Doctor of Arts in Teaching
D.B.A.,Doctor of Business Administration
D.Chem.,Doctor of Chemistry
D.C.J.,Doctor of Criminal Justice
D.Ed.,Doctor of Education
Ed.D,Doctor of Education
D.Env.,Doctor of Environment
D.F.A.,Doctor of Fine Arts
D.H.S.,Doctor of Health and Safety
D.L.S.,Doctor of Library Science
D.M.A.,Doctor of Musical Arts
D.P.A.,Doctor of Public Administration
D.P.H.,Doctor of Public Health
D.R.,Doctor of Recreation
D.Rec.,Doctor of Recreation
D.Sc.H.,Doctor of Science and Hygiene
L.H.D.,Doctor of Humane Letters
Ph.D.,Doctor of Philosophy
S.Sc.D.,Doctor of Social Science
A.N.,Associate of Nursing
A.D.N.,Associate Degree in Nursing
A.S.N.,Associate of Science in Nursing
B.Med.Sci.,Bachelor of Medical Science
B.Med.Biol.,Bachelor of Medical Biology
B.N. ,Bachelor of Nursing
B.Nurs.,Bachelor of Nursing
B.Pharm.,Bachelor of Pharmacy
B.S.N.,Bachelor of Science in Nursing
B.Sc.N.,Bachelor of Science in Nursing
M.C.M.,Master of Clinical Medicine
M.M.,Master of Medicine
M.M.S.,Master of Medical Science
M.Med.Sc.,Master of Medical Science
M.N.,Master of Nursing
M.N.A.,Master of Nurse Anesthesia
M.Pharm.,Master of Pharmacy
M.P.A.S.,Master of Physician Assistant Studies
Ch.M.,Master of Surgery
M.S.M.,Master of Science in Medicine
M.S.N.,Master of Science in Nursing
M.V.S.C.,Master of Veterinary Science
M.V.Sc.,Master of Veterinary Science
D.C.M.,Doctor of Clinical Medicine
D.Clin.Surg.,Doctor of Clinical Surgery
D.D.S.,Doctor of Dental Surgery
D.M.D.," Doctor of Dental Medicine, Doctor of Medical Dentistry"
D.M.Sc.,Doctor of Medical Science
D.Med.Sc.,Doctor of Medical Science
D.N.Sc.,Doctor of Nursing Science
D.S.,Doctor of Surgery
D.Surg.,Doctor of Surgery
D.Sc.D.,Doctor of Science in Dentistry
D.Sc.V.M.,Doctor of Science in Veterinary Medicine
D.O.,Doctor of Osteopathic Medicine
D.P.T.,Doctor of Physical Therapy
D.S.N.,Doctor of Science in Nursing
D.Sc.PT,Doctor of Science in Physical Therapy
D.S.W.,Doctor of Social Work
D.V.M,Doctor of Veterinary Medicine
D.V.M,Doctor of Veterinary Medicine
B.S.L.,Bachelor of Science in Law
B.S.L.,Bachelor of Science in Law
M.J.,Master of Jurisprudence
M.Jur.,Master of Jurisprudence
M.S.L.,Master of Studies in Law
M.S.L.,Master of Studies in Law
D.C.L.,Doctor of Civil Law
D.C.L.,Doctor of Civil Law
J.C.D.,Doctor of Canon Law
J.C.D.,Doctor of Canon Law
J.D.,Doctor of Jurisprudence. Doctor of Laws
J.D.,Doctor of Jurisprudence. Doctor of Laws
J.S.D.,Doctor of Juridical Science
S.J.D.,Doctor of Juridical Science
LL.D.,Doctor of Laws
LL.D.,Doctor of Laws
L.Sc.D.,Doctor of Science in Law
