,extracted_university,university,ins_match
48,['massachusetts institute of technology'],['massachusetts institute of technology'],1
49,[''],['massachusetts institute of technology'],0
50,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
51,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
52,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
53,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
54,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
55,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
56,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
57,['virginia polytechnic'],['virginia polytechnic institute and state university'],0
58,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
59,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
60,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
61,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
62,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
63,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
64,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
65,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
66,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
67,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
68,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
69,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
70,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
71,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
72,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
73,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
74,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
75,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
76,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
77,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
78,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
79,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
80,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
81,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
82,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
83,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
84,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
85,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
86,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
87,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
88,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
89,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
90,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
91,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
92,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
93,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
94,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
95,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
96,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
97,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
98,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
99,['virginia polytechnic institute and state university'],['virginia polytechnic institute and state university'],1
