,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status
34,lawrence,edmund,gilbert,lawrence,edmund,gilbert,1,1,1
35,,,,jean-louis,pierre,armand,0,0,0
36,john,randolph,sumner,john,randolph,sumner,1,1,1
37,michael,hermann,sukale,michael,hermann,sukale,1,1,1
38,rodney,albert,schmidt,rodney,albert,schmidt,1,1,1
39,peter,alan,morris,peter,alan,morris,1,1,1
40,lee,frederick,decoster,lee,frederick,decoster,1,1,1
41,john,archie,thomas,john,archie,thomas,1,1,1
42,joseph,n.,payne,paul,joseph,shoecraft,0,0,0
43,george,alfred,cavanagh,george,alfred,cavanagh,1,1,1
44,gary,gene,ihas,gary,gene,ihas,1,1,1
45,joseph,,muscara,joseph,,muscara,1,0,1
46,alan,,taylor,michael,f.,stewart,0,0,0
47,,,,howard,frederick,kamler,0,0,0
48,,,,thomas,rolf,turner,0,0,0
49,david,edward,whiteside,david,edward,whiteside,1,1,1
50,robert,hyman,marvich,robert,hyman,marvich,1,1,1
51,jerry,mac,dean,jerry,mac,dean,1,1,1
52,david,penfield,ballou,david,penfield,ballou,1,1,1
53,shelby,jett,boardman,shelby,jett,boardman,1,1,1
54,hassan,,sharifi,hassan,,sharifi,1,0,1
55,seymour,l.,ross,seymour,l.,ross,1,1,1
56,eiko,tamano,ito,eiko,tamano,ito,1,1,1
57,john,stephen,akin,john,stephen,akin,1,1,1
58,bruce,michael,landesman,bruce,michael,landesman,1,1,1
59,james,lewis,canfield,james,lewis,canfield,1,1,1
60,,,,arne,jo,steinberg,0,0,0
61,malcolm,david,shuster,malcolm,david,shuster,1,1,1
62,john,joseph,fearnsides,john,joseph,fearnsides,1,1,1
63,theo,gordon,keith,theo,gordon,keith,1,1,1
64,polly,hinson,carder,mazie,hinson,carder,0,1,1
65,william,alexander,falkler,william,alexander,falkler,1,1,1
66,harold,f.,abeles,harold,fred,abeles,1,0,1
67,mostafa,mahmoud,emara,mostafa,mahmoud,emara,1,1,1
68,o.,david,gold,oliver,david,gold,0,1,1
69,sampurno,,kadarsan,sampurno,,kadarsan,1,0,1
70,wilbert,allen,king,wilbert,allen,king,1,1,1
71,donald,joseph,delbeato,donald,joseph,delbeato,1,1,1
72,bobby,glenn,beaman,bobby,glenn,beaman,1,1,1
73,japan,changsoo,lee,changsoo,,lee,0,0,1
74,ruth,s.,ralph,ruth,s.,ralph,1,1,1
75,ihab,labib,kamel,ihab,labib,kamel,1,1,1
76,ira,,block,ira,,block,1,0,1
77,samuel,,van houte,samuel,,van houte,1,0,1
78,robert,elmer,barde,robert,elmer,barde,1,1,1
79,a.,robert,bell,a.,robert,bell,1,1,1
80,stephen,m.,ross,stephen,mark,ross,1,0,1
81,james,c.,fu,james,chuan,fu,1,0,1
82,rudolph,j.,jaeger,rudolph,john,jaeger,1,0,1
83,terence,robert,smith,terence,robert,smith,1,1,1
84,james,j,riley,james,joseph,riley,1,0,1
85,kingsley,edwin,haynes,kingsley,edwin,haynes,1,1,1
86,carole,,shammas,carole,,shammas,1,0,1
87,charles,h.,carman,charles,henry,carman,1,0,1
88,garold,s.,tjaden,garold,stephen,tjaden,1,0,1
89,michael,l.,banner,michael,leslie,banner,1,0,1
90,stephen,,wagman,stephen,robert,wagman,1,0,1
91,elly,m. friese,apitz,elly,friese,apitz,1,0,1
92,james,a.,rimbach,james,allen,rimbach,1,0,1
93,eliyahu,,borukhov,eliyahu,,borukhov,1,0,1
94,jerry,w.,gustafson,jerry,w.,gustafson,1,1,1
95,william,james,boettinger,william,james,boettinger,1,1,1
96,,,,bernard,frank,batto,0,0,0
97,howard,neil,plotkin,howard,neil,plotkin,1,1,1
98,dennis,r.,capozza,dennis,robert,capozza,1,0,1
99,elizabeth,b. dussan,v.,elizabeth,b.,dussan v.,1,0,0
100,glenn,a.,laguna,glenn,alan,laguna,1,0,1
101,james,henry,barbee,james,henry,barbee,1,1,1
102,myung,kyu,hwang,myung,kyu,hwang,1,1,1
103,josephat,kanayo,okoye,josephat,kanayo,okoye,1,1,1
104,richard,n.,silver,richard,neil,silver,1,0,1
105,clifford,martin,will,clifford,martin,will,1,1,1
106,lee,wendel,casperson,lee,wendel,casperson,1,1,1
107,jasen,niles,puckett,jason,niles,puckett,0,1,1
108,keith,duncan,stroyan,keith,duncan,stroyan,1,1,1
109,wayne,,thatcher,wayne,raymond,thatcher,1,0,1
110,adelbert,,owyoung,adelbert,,owyoung,1,0,1
111,gene,ward,wester,gene,ward,wester,1,1,1
112,michael,a.,caloyannides,michael,akylas,caloyannides,1,0,1
113,gerson,seth,shostak,gerson,seth,shostak,1,1,1
114,,,,daniel,yih,chang,0,0,0
115,daniel,charles,harris,daniel,charles,harris,1,1,1
116,robert,dilworth,blevins,robert,dilworth,blevins,1,1,1
117,howard,cary,morris,howard,cary,morris,1,1,1
118,david,bruce,shaffer,david,bruce,shaffer,1,1,1
119,andrea,,prosperetti,andrea,,prosperetti,1,0,1
120,william,l.,johnson,william,lewis,johnson,1,0,1
121,michael,alan,kosecoff,michael,alan,kosecoff,1,1,1
122,elias,sai wan,shiu,elias,wan,shiu,1,0,1
123,thomas,,carl,thomas,carl,brown,1,0,0
124,nikolas,evangelos,kotsovinos,nikolas,evangelos,kotsovinos,1,1,1
125,robert,l.,russell,robert,l.,russell,1,1,1
126,john,l.,olsen,john,leslie,olsen,1,0,1
127,david,e.,reed,david,ellsworth,reed,1,0,1
128,paul,a.,westcott,paul,arthur,westcott,1,0,1
129,,,,mansoor,i.,al turki,0,0,0
130,david,b.,mcwhorter,david,bruce,mcwhorter,1,0,1
131,john,d.,hunt,john,denure,hunt,1,0,1
132,robert,george,woodmansee,robert,george,woodmansee,1,1,1
133,john,w.,addink,john,william,addink,1,0,1
134,mustafa,yilmaz,kilinc,mustafa,yilmaz,kilinc,1,1,1
135,john,a.,nicoletti,john,albert,nicoletti,1,0,1
136,robert,,erland,robert,erland,stockhouse,1,0,0
137,,,,richard,allan,de long,0,0,0
138,gerald,david,nordblom,gerald,david,nordblom,1,1,1
139,masanobu,,niimura,masanobu,,niimura,1,0,1
140,jagdish,singh,teotia,jagdish,singh,teotia,1,1,1
141,alonzo,,chappell,alonzo,,chappell,1,0,1
142,howard,n.,acott,howard,neil,acott,1,0,1
143,phillip,d.,creighton,phillip,david,creighton,1,0,1
144,sheldon,r.,mendelson,sheldon,ray,mendelson,1,0,1
145,david,,ross,david,ross,allardice,1,0,0
146,,,,jeong-shwu,,liu,0,0,0
147,rajinder,s.,narang,rajinder,singh,narang,1,0,1
148,william,murray,henghold,william,murray,henghold,1,1,1
149,william,james,crain,william,james,crain,1,1,1
